The Road to React,Your journey to master plain yet pragmatic React.js,Robin Wieruch,,"978-1720043997
The Road to React,Your journey to master plain yet pragmatic React.js,Robin Wieruch,,978-1720043997,2018-09-14,1,No,No,4.4,615,$29.99,,,,,,,,,,,,,,
Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide,The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,1803240636,978-1803240633,2022-11-25,1,No,No,4.3,16,$44.99,,,,,,,,,,,,,,
Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide,The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,1803240636,978-1803240633,2022-11-25,1,No,No,4.3,16,$44.99,,,,,,,,,,,,,,
Age of Invisible Machines,A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers, Robb Wilson,1119899923,978-1119899921,2022-09-27,1,No,No,4.4,84,$24.49,,,,,,,,,,,,,,
Age of Invisible Machines,A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers,Robb Wilson,1119899923,978-1119899921,2022-09-27,1,No,No,4.4,84,$24.49,,,,,,,,,,,,,,
Python,The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced (Your place to learn Python with ease),Maurice J. Thompson,1980953902,978-1980953906,2018-04-28,1,No,No,4.3,4600,$27.97,,,,,,,,,,,,,,
Python,2 Manuscripts in 1 book: -Python For Beginners -Python 3 Guide,Timothy C. Needham,1728913489,978-1728913483,2018-10-17,1,No,No,4.1,269,$24.95,,,,,,,,,,,,,,
Python,For Beginners: A Crash Course Guide To Learn Python in 1 Week, Timothy C. Needham,1549776673,978-0679722014,2017-09-21,1,No,No,4.3,3642,$14.46,,,,,,,,,,,,,,
Hands on Hacking,Become an Expert at Next Gen Penetration Testing and Purple Teaming,Matthew Hickey,1119561450,978-1119561453,2020-08-20,1,No,No,4.7,453,$24.99,,,,,,,,,,,,,,
Hands on Hacking,Become an Expert at Next Gen Penetration Testing and Purple Teaming, Matthew Hickey,1119561450,978-1119561453,2020-08-20,1,No,No,4.7,453,$24.99,,,,,,,,,,,,,,
Linux for Beginners,A Practical and Comprehensive Guide to Learn Linux Operating System and Master Linux Command Line. Contains Self-Evaluation Tests to Verify Your Learning Level,Ethem Mining,1671228081,978-1671228085,2019-12-03,1,No,No,4.3,364,$16.99,,,,,,,,,,,,,,
Linux for Beginners,Why You're Not Using Linux yet and How to Overcome Command Line Fear, Nathan Clark,,979-8581926437,2020-12-15,1,No,No,4.4,238,$19.99,,,,,,,,,,,,,,
Linux for Beginners, Practical and Comprehensive Guide to Learn Linux Operating System and Master Linux Command Line. Contains Self-Evaluation Tests to Verify Your Learning Level,Ethem Mining,1671228081,978-1671228085,2019-12-03,1,No,No,4.3,364,$16.90,,,,,,,,,,,,,,
Linux For Beginners,"The Basics Of Kali Linux Operating System. Essentials For Installation, Configuration And Command Line And A Precise Guide About ... And Hacking Tools (Linux Bible)",Darwin Growth,,979-8378297627,2023-02-20,1,NO,NO,4.9,1234,$9.99,,,,,,,,,,,,,,
Raspberry Pi Operating System Assembly Language,, Bruce Smith,0648098737,978-0648098737,2021-03-18,1,No,No,$4.40 ,36,$19.99,,,,,,,,,,,,,,
Raspberry Pi Operating System Assembly Language,,Bruce Smith,0648098737,978-0648098737,2021-03-18,1,No,No,4.4,36,$19.99,,,,,,,,,,,,,,
Guide to Signals and Interlockings,, Dave Abeles,162700825X,978-1627008259,2021-03-22,1,No,No,4.6,117,$18.60,,,,,,,,,,,,,,
Guide to Signals and Interlockings,,Dave Abeles,162700825X,978-1627008259,2021-03-22,1,No,No,4.6,117,$18.60,,,,,,,,,,,,,,
Active Directory Administration Cookbook,"Proven solutions to everyday identity and authentication challenges for both on-premises and the cloud, 2nd Edition", Sander Berkouwer,1803242507,978-1803242507,2022-07-15,2,No,No,5,6,$49.99,,,,,,,,,,,,,,
Active Directory Administration Cookbook,"Actionable, proven solutions to identity management and authentication on servers and in the cloud",Sander Berkouwer,1789806984,978-1789806984,2019-05-03,1,No,No,4.7,48,$69.99,,,,,,,,,,,,,,
Mastering Microsoft Endpoint Manager,"Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs", Christiaan Brinkhoff,1801078998,978-1801078993,2021-10-07,1,No,No,4.7,108,$40.63,,,,,,,,,,,,,,
Mastering Microsoft Endpoint Manager,"Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs",Christiaan Brinkhoff,1801078998,978-1801078993,2021-10-07,1,No,No,4.7,108,$40.63,,,,,,,,,,,,,,
PHP and Algorithmic Thinking for the Complete Beginner (2nd Edition),Learn to Think Like a Programmer, Aristides S Bouras,,,,1,No,No,,,,,,,,,,,,,,,,,
